id,lat,long,distans,time,timeToNextMs
987073,58.6658701071,-93.8613510132,4460.947741310129,2017-08-20 02:19:06 UTC,1318000
987073,18.7072222222,-98.7504666667,9741.352157707093,2017-08-20 02:41:04 UTC,26417000
987073,44.2223366667,6.7957716667,162.85611999047717,2017-08-20 10:01:21 UTC,17739000
987073,44.5441466667,8.7950666667,0.29275448171939084,2017-08-20 14:57:00 UTC,25000
987073,44.5435116667,8.7986516667,0.12288578886561399,2017-08-20 14:57:25 UTC,55000
987073,44.5432316667,8.7971516667,6544.796619113888,2017-08-20 14:58:20 UTC,20341000
987073,58.7662419564,-94.1224479675,4619.1034222006165,2017-08-20 20:37:21 UTC,82055000
987073,17.2613377443,-96.4625485986,10693.652340699255,2017-08-21 19:24:56 UTC,5659000
987073,,,10963.132267797115,2017-08-21 20:59:15 UTC,72459000
987073,19.5945637638,-99.1264629364,0.6409817380749108,2017-08-22 17:06:54 UTC,3110000
987073,19.588802,-99.126651,292.44048503441974,2017-08-22 17:58:44 UTC,98817000
987073,21.9723632187,-100.3156156738,4112.869098056877,2017-08-23 21:25:41 UTC,12197000
987073,58.6658701071,-93.8356018066,4229.443259041996,2017-08-24 00:48:58 UTC,61425000
987073,20.8582653906,-99.595064967,149.41941242806016,2017-08-24 17:52:43 UTC,7115000
987073,19.5863360311,-99.1331148148,0.06507836659052303,2017-08-24 19:51:18 UTC,128000
987073,19.5868022637,-99.1327393055,0.022282076728840517,2017-08-24 19:53:26 UTC,30000
987073,19.5867302441,-99.132937789,373.14524233756896,2017-08-24 19:53:56 UTC,73993000
987073,17.1625040984,-96.6875937303,0.008185893160323946,2017-08-25 16:27:09 UTC,22000
987073,17.162546888,-96.6876564269,4727.146315776005,2017-08-25 16:27:31 UTC,24814000
987073,51.6521299435,-128.1395745277,766.8852125931683,2017-08-25 23:21:05 UTC,30751000
987073,57.1422936321,-135.3316497803,12531.337992939216,2017-08-26 07:53:36 UTC,134719000
987073,,,10837.596259593387,2017-08-27 21:18:55 UTC,14254000
987073,19.1466910377,-97.904681861,8709.769822734033,2017-08-28 01:16:29 UTC,228177000
